Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Expressive writing,Privately write for 15–20 minutes about a stressful event and what it means.,Moderate Evidence,Backup 1,"Pavlacic et al., 2019, Review of General Psychology","Meta-analysis: expressive writing showed small effects on posttraumatic stress and negligible-to-small effects on growth and quality of life, but medium-large effects in diagnosed PTSD samples.","Shows the writing-about-a-stressful-event construct helps modestly overall but more in clinical samples, supporting Moderate with honest scope limits.",https://doi.org/10.1177/1089268019831645,https://consensus.app/papers/details/3faa18f94fd153fea77112f4c0fd08de/?utm_source=claude_code,https://consensus.app/search/new?q=expressive+writing+emotional+disclosure+stressful+event+health+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Expressive writing,Privately write for 15–20 minutes about a stressful event and what it means.,Moderate Evidence,Backup 2,"Mogk et al., 2006, GMS Psycho-Social Medicine","Meta-analysis of 30 RCTs: found no significant effects of expressive writing on somatic or psychological health, contrary to earlier reported benefits.","A null RCT-only meta-analysis included for balance; the conflicting findings across reviews are precisely why expressive writing is ranked Moderate, not strong.",https://doi.org/10.3205/psm000026,https://consensus.app/papers/details/2a336aac85ec50cc92f38d16ce965f4b/?utm_source=claude_code,https://consensus.app/search/new?q=expressive+writing+emotional+disclosure+stressful+event+health+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.,Moderate Evidence,Primary,"Carrillo et al., 2019, PLoS ONE","Meta-analysis, 29 studies (N=2,909): the Best Possible Self exercise improved wellbeing (d=.33), optimism (d=.33) and positive affect (d=.51) versus controls.","Meta-analysis of the exact BPS writing exercise shows consistent small-to-moderate effects, directly justifying a Moderate ranking.",https://doi.org/10.1371/journal.pone.0222386,https://consensus.app/papers/details/936e0253b1b95fe0b14425221c7a0208/?utm_source=claude_code,https://consensus.app/search/new?q=best+possible+self+intervention+positive+affect+optimism+randomized+controlled+trial+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.,Moderate Evidence,Backup 1,"Heekerens & Eid, 2020, The Journal of Positive Psychology","Meta-analysis of 34 RCTs: BPS produced small effects on positive affect (g=0.28) and optimism (g=0.21), strongest immediately after, with no substantial follow-up effects.","RCT-only meta-analysis confirms BPS works as a brief mood/expectation induction but without lasting effects, fitting a Moderate ranking.",https://doi.org/10.1080/17439760.2020.1716052,https://consensus.app/papers/details/d5f1bfaf22cf5b61bce4e334bb0043c4/?utm_source=claude_code,https://consensus.app/search/new?q=best+possible+self+intervention+positive+affect+optimism+randomized+controlled+trial+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.,Moderate Evidence,Backup 2,"Malouff & Schutte, 2017, The Journal of Positive Psychology","Meta-analysis of 29 RCTs (N=3,319): optimism interventions increased optimism (g=.41), with significantly larger effects for studies using the Best Possible Self exercise.","Broader optimism-training meta-analysis singling out BPS as the most effective variant supports the construct, while moderator caveats keep it Moderate.",https://doi.org/10.1080/17439760.2016.1221122,https://consensus.app/papers/details/34195c00882b59e287471da8dbb89303/?utm_source=claude_code,https://consensus.app/search/new?q=best+possible+self+intervention+positive+affect+optimism+randomized+controlled+trial+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Strengths use,Identify a character strength and use it in a new way each day.,Moderate Evidence,Primary,"Gander et al., 2024, Collabra: Psychology","RCT, N=1,163: 'using signature strengths in a new way' for one week increased wellbeing, social wellbeing, and character-strength states and traits versus a placebo control.","Large RCT testing the exact 'use a strength in a new way' instruction against an active placebo shows real benefits, the strongest direct evidence for a Moderate ranking.",https://doi.org/10.1525/collabra.108604,https://consensus.app/papers/details/399d83afbb535603b5f4cc509523529a/?utm_source=claude_code,https://consensus.app/search/new?q=using+character+strengths+in+a+new+way+wellbeing+positive+psychology+intervention&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Strengths use,Identify a character strength and use it in a new way each day.,Moderate Evidence,Backup 1,"Proyer et al., 2015, Frontiers in Psychology","Placebo-controlled RCT, 375 adults: using signature strengths in a new way increased happiness up to 3 months and reduced depression short-term versus placebo control.","Classic placebo-controlled RCT of the daily 'strengths in a new way' exercise shows benefits that fade over time, consistent with Moderate evidence.",https://doi.org/10.3389/fpsyg.2015.00456,https://consensus.app/papers/details/3a993c609f9f5fc2918dee778abe6c3c/?utm_source=claude_code,https://consensus.app/search/new?q=using+character+strengths+in+a+new+way+wellbeing+positive+psychology+intervention&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Strengths use,Identify a character strength and use it in a new way each day.,Moderate Evidence,Backup 2,"Duan et al., 2018, Journal of Happiness Studies","RCT, 100 first-year students: a character-strengths intervention raised thriving and cut negative symptoms short-term (effects faded by 1 year); strengths use partially mediated outcomes.","On-target RCT supporting strengths use as the active mechanism but with effects that did not persist to 1 year, reinforcing a Moderate ranking.",https://doi.org/10.1007/s10902-017-9879-5,https://consensus.app/papers/details/40d863c08cf05d968cbaaac9f35282ee/?utm_source=claude_code,https://consensus.app/search/new?q=using+character+strengths+in+a+new+way+wellbeing+positive+psychology+intervention&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Daily journaling,"Write a brief uncensored account of thoughts, decisions, and lessons each day.",Moderate Evidence,Primary,"Guo, 2022, British Journal of Clinical Psychology","Meta-analysis of 31 RCTs (N=4012). Expressive writing showed a small but significant reduction in depression, anxiety, and stress (Hedges' g=-0.12).","A meta-analysis of RCTs with long-term follow-up shows a real but small, delayed benefit of brief daily-style writing, matching a Moderate ranking.",https://doi.org/10.1111/bjc.12408,https://consensus.app/papers/details/c9f703e0dcc155cfaf80a9d1f93747b5/?utm_source=claude_code,https://consensus.app/search/new?q=expressive+writing+journaling+intervention+mental+health+meta-analysis&utm_source=claude_code&mode=quick,Partially agree,"Expressive writing is not the same as daily journaling. This supports one specific journaling paradigm—writing about stressful experiences—not generic daily reflection, gratitude, planning, or diary writing.",Agree,"I agree expressive writing (writing about stressful experiences) is a specific paradigm, not generic daily reflection, gratitude, or planning. The construct is narrower than the technique label, though it remains the best-evidenced journaling variant for Moderate."
Daily journaling,"Write a brief uncensored account of thoughts, decisions, and lessons each day.",Moderate Evidence,Backup 1,"Reinhold et al., 2018, Clinical Psychology: Science and Practice",Meta-analysis of 39 RCTs (64 comparisons). Brief self-directed expressive writing did not yield significant long-term effects on depressive symptoms.,"This null-leaning meta-analysis honestly bounds the effect, showing why the support is only Moderate and mixed rather than strong.",,https://consensus.app/papers/details/145a84014fc657078032ff2f2113257d/?utm_source=claude_code,https://consensus.app/search/new?q=expressive+writing+journaling+intervention+mental+health+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"This null-leaning review is relevant to expressive writing, but again it does not cover daily journaling broadly. It mainly cautions against overclaiming therapeutic effects from journaling.",Agree,"I agree this null-leaning review is about expressive writing, not journaling broadly, and mainly cautions against overclaiming. That bounding role is exactly why I included it to keep the rating Moderate and mixed."
